Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 6.102908	Val Loss: 5.683341	Val Acc: 11
Train Epoch: 1 [640/49000 (1%)]	Train Loss: 7.010236	Val Loss: 8.245158	Val Acc: 20
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 7.390166	Val Loss: 6.361856	Val Acc: 25
Train Epoch: 1 [1920/49000 (4%)]	Train Loss: 6.274514	Val Loss: 5.820121	Val Acc: 20
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 5.324066	Val Loss: 3.723382	Val Acc: 30
Train Epoch: 1 [3200/49000 (7%)]	Train Loss: 2.975796	Val Loss: 3.232251	Val Acc: 32
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 1.838470	Val Loss: 2.477875	Val Acc: 38
Train Epoch: 1 [4480/49000 (9%)]	Train Loss: 2.065799	Val Loss: 2.266739	Val Acc: 39
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 2.520561	Val Loss: 1.843888	Val Acc: 43
Train Epoch: 1 [5760/49000 (12%)]	Train Loss: 2.150275	Val Loss: 2.043373	Val Acc: 42
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 1.518846	Val Loss: 1.771755	Val Acc: 45
Train Epoch: 1 [7040/49000 (14%)]	Train Loss: 1.730581	Val Loss: 1.789251	Val Acc: 42
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.733200	Val Loss: 1.772811	Val Acc: 42
Train Epoch: 1 [8320/49000 (17%)]	Train Loss: 1.533073	Val Loss: 1.610334	Val Acc: 50
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 1.718623	Val Loss: 1.675585	Val Acc: 44
Train Epoch: 1 [9600/49000 (20%)]	Train Loss: 1.874895	Val Loss: 1.650533	Val Acc: 45
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.383807	Val Loss: 1.696931	Val Acc: 44
Train Epoch: 1 [10880/49000 (22%)]	Train Loss: 1.704635	Val Loss: 1.645307	Val Acc: 42
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 1.469816	Val Loss: 1.688938	Val Acc: 44
Train Epoch: 1 [12160/49000 (25%)]	Train Loss: 1.531998	Val Loss: 1.628804	Val Acc: 47
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.385702	Val Loss: 1.604502	Val Acc: 45
Train Epoch: 1 [13440/49000 (27%)]	Train Loss: 1.317665	Val Loss: 1.549379	Val Acc: 46
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.593586	Val Loss: 1.493275	Val Acc: 48
Train Epoch: 1 [14720/49000 (30%)]	Train Loss: 1.605812	Val Loss: 1.619161	Val Acc: 43
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 1.795083	Val Loss: 1.482266	Val Acc: 48
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.295217	Val Loss: 1.419017	Val Acc: 51
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.624658	Val Loss: 1.500917	Val Acc: 51
Train Epoch: 1 [17280/49000 (35%)]	Train Loss: 1.492167	Val Loss: 1.479902	Val Acc: 47
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.663305	Val Loss: 1.599083	Val Acc: 47
Train Epoch: 1 [18560/49000 (38%)]	Train Loss: 1.422805	Val Loss: 1.531464	Val Acc: 44
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.302827	Val Loss: 1.458365	Val Acc: 48
Train Epoch: 1 [19840/49000 (40%)]	Train Loss: 1.344822	Val Loss: 1.532806	Val Acc: 50
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.524718	Val Loss: 1.365069	Val Acc: 50
Train Epoch: 1 [21120/49000 (43%)]	Train Loss: 1.125834	Val Loss: 1.449326	Val Acc: 53
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 1.277246	Val Loss: 1.420683	Val Acc: 47
Train Epoch: 1 [22400/49000 (46%)]	Train Loss: 1.409801	Val Loss: 1.473996	Val Acc: 50
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 1.515921	Val Loss: 1.683996	Val Acc: 40
Train Epoch: 1 [23680/49000 (48%)]	Train Loss: 1.203035	Val Loss: 1.411493	Val Acc: 52
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 1.215288	Val Loss: 1.454310	Val Acc: 47
Train Epoch: 1 [24960/49000 (51%)]	Train Loss: 1.381410	Val Loss: 1.543012	Val Acc: 48
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.432216	Val Loss: 1.413230	Val Acc: 51
Train Epoch: 1 [26240/49000 (54%)]	Train Loss: 1.580956	Val Loss: 1.396830	Val Acc: 52
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 1.225559	Val Loss: 1.380480	Val Acc: 54
Train Epoch: 1 [27520/49000 (56%)]	Train Loss: 1.733754	Val Loss: 1.444464	Val Acc: 50
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.420506	Val Loss: 1.370362	Val Acc: 50
Train Epoch: 1 [28800/49000 (59%)]	Train Loss: 1.692835	Val Loss: 1.372796	Val Acc: 53
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 1.389773	Val Loss: 1.510853	Val Acc: 52
Train Epoch: 1 [30080/49000 (61%)]	Train Loss: 1.296202	Val Loss: 1.378387	Val Acc: 53
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 1.390020	Val Loss: 1.440159	Val Acc: 51
Train Epoch: 1 [31360/49000 (64%)]	Train Loss: 1.505959	Val Loss: 1.287806	Val Acc: 55
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.228418	Val Loss: 1.440168	Val Acc: 50
Train Epoch: 1 [32640/49000 (67%)]	Train Loss: 1.539804	Val Loss: 1.268223	Val Acc: 55
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 1.482930	Val Loss: 1.483087	Val Acc: 47
Train Epoch: 1 [33920/49000 (69%)]	Train Loss: 1.422274	Val Loss: 1.307904	Val Acc: 55
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 1.376142	Val Loss: 1.361168	Val Acc: 53
Train Epoch: 1 [35200/49000 (72%)]	Train Loss: 1.296715	Val Loss: 1.256364	Val Acc: 56
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.287226	Val Loss: 1.310871	Val Acc: 53
Train Epoch: 1 [36480/49000 (74%)]	Train Loss: 1.245114	Val Loss: 1.388567	Val Acc: 51
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.369312	Val Loss: 1.350042	Val Acc: 53
Train Epoch: 1 [37760/49000 (77%)]	Train Loss: 1.416436	Val Loss: 1.266913	Val Acc: 55
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.398432	Val Loss: 1.298740	Val Acc: 55
Train Epoch: 1 [39040/49000 (80%)]	Train Loss: 1.602371	Val Loss: 1.383139	Val Acc: 51
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.379967	Val Loss: 1.308096	Val Acc: 57
Train Epoch: 1 [40320/49000 (82%)]	Train Loss: 1.445529	Val Loss: 1.398165	Val Acc: 50
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.279075	Val Loss: 1.271619	Val Acc: 55
Train Epoch: 1 [41600/49000 (85%)]	Train Loss: 1.242392	Val Loss: 1.264881	Val Acc: 56
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.400544	Val Loss: 1.333589	Val Acc: 55
Train Epoch: 1 [42880/49000 (87%)]	Train Loss: 1.255302	Val Loss: 1.385603	Val Acc: 52
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.240255	Val Loss: 1.302432	Val Acc: 54
Train Epoch: 1 [44160/49000 (90%)]	Train Loss: 1.455662	Val Loss: 1.417710	Val Acc: 52
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.253072	Val Loss: 1.379332	Val Acc: 52
Train Epoch: 1 [45440/49000 (93%)]	Train Loss: 1.530827	Val Loss: 1.308725	Val Acc: 55
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.083023	Val Loss: 1.326089	Val Acc: 55
Train Epoch: 1 [46720/49000 (95%)]	Train Loss: 1.221526	Val Loss: 1.263019	Val Acc: 57
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.416734	Val Loss: 1.175605	Val Acc: 61
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.237805	Val Loss: 1.307444	Val Acc: 55
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.268850	Val Loss: 1.389872	Val Acc: 51
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.426869	Val Loss: 1.309204	Val Acc: 56
Train Epoch: 2 [640/49000 (1%)]	Train Loss: 1.376297	Val Loss: 1.387432	Val Acc: 55
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 1.113778	Val Loss: 1.300760	Val Acc: 58
Train Epoch: 2 [1920/49000 (4%)]	Train Loss: 1.361074	Val Loss: 1.451131	Val Acc: 56
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.189125	Val Loss: 1.328808	Val Acc: 56
Train Epoch: 2 [3200/49000 (7%)]	Train Loss: 1.150836	Val Loss: 1.341731	Val Acc: 51
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 1.239195	Val Loss: 1.314896	Val Acc: 57
Train Epoch: 2 [4480/49000 (9%)]	Train Loss: 1.267075	Val Loss: 1.280183	Val Acc: 60
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.107158	Val Loss: 1.368268	Val Acc: 51
Train Epoch: 2 [5760/49000 (12%)]	Train Loss: 1.515340	Val Loss: 1.432524	Val Acc: 49
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 1.286566	Val Loss: 1.217906	Val Acc: 55
Train Epoch: 2 [7040/49000 (14%)]	Train Loss: 1.196499	Val Loss: 1.314619	Val Acc: 56
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 1.385416	Val Loss: 1.316776	Val Acc: 53
Train Epoch: 2 [8320/49000 (17%)]	Train Loss: 1.186863	Val Loss: 1.324222	Val Acc: 52
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 1.269376	Val Loss: 1.255129	Val Acc: 59
Train Epoch: 2 [9600/49000 (20%)]	Train Loss: 1.536664	Val Loss: 1.247595	Val Acc: 55
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.300179	Val Loss: 1.343060	Val Acc: 54
Train Epoch: 2 [10880/49000 (22%)]	Train Loss: 1.237145	Val Loss: 1.300538	Val Acc: 56
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 1.091320	Val Loss: 1.350381	Val Acc: 57
Train Epoch: 2 [12160/49000 (25%)]	Train Loss: 1.615174	Val Loss: 1.279698	Val Acc: 57
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.493769	Val Loss: 1.462465	Val Acc: 46
Train Epoch: 2 [13440/49000 (27%)]	Train Loss: 1.420998	Val Loss: 1.358221	Val Acc: 51
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.402030	Val Loss: 1.272240	Val Acc: 55
Train Epoch: 2 [14720/49000 (30%)]	Train Loss: 1.215284	Val Loss: 1.418918	Val Acc: 53
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.229854	Val Loss: 1.278963	Val Acc: 54
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.278717	Val Loss: 1.243232	Val Acc: 60
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.271927	Val Loss: 1.303365	Val Acc: 56
Train Epoch: 2 [17280/49000 (35%)]	Train Loss: 1.258415	Val Loss: 1.321287	Val Acc: 54
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.234727	Val Loss: 1.368318	Val Acc: 55
Train Epoch: 2 [18560/49000 (38%)]	Train Loss: 1.123409	Val Loss: 1.274045	Val Acc: 58
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.276821	Val Loss: 1.232572	Val Acc: 59
Train Epoch: 2 [19840/49000 (40%)]	Train Loss: 1.112254	Val Loss: 1.265039	Val Acc: 60
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.503484	Val Loss: 1.386395	Val Acc: 52
Train Epoch: 2 [21120/49000 (43%)]	Train Loss: 1.221538	Val Loss: 1.303815	Val Acc: 57
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 1.378539	Val Loss: 1.291934	Val Acc: 53
Train Epoch: 2 [22400/49000 (46%)]	Train Loss: 1.166003	Val Loss: 1.280831	Val Acc: 57
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.184399	Val Loss: 1.296067	Val Acc: 57
Train Epoch: 2 [23680/49000 (48%)]	Train Loss: 1.315367	Val Loss: 1.279509	Val Acc: 58
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.364987	Val Loss: 1.258658	Val Acc: 58
Train Epoch: 2 [24960/49000 (51%)]	Train Loss: 1.269353	Val Loss: 1.306584	Val Acc: 56
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.183505	Val Loss: 1.242663	Val Acc: 59
Train Epoch: 2 [26240/49000 (54%)]	Train Loss: 1.378214	Val Loss: 1.282306	Val Acc: 55
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.277477	Val Loss: 1.304144	Val Acc: 54
Train Epoch: 2 [27520/49000 (56%)]	Train Loss: 1.410000	Val Loss: 1.364407	Val Acc: 53
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.458093	Val Loss: 1.319250	Val Acc: 52
Train Epoch: 2 [28800/49000 (59%)]	Train Loss: 1.222562	Val Loss: 1.230121	Val Acc: 62
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.244386	Val Loss: 1.259401	Val Acc: 59
Train Epoch: 2 [30080/49000 (61%)]	Train Loss: 1.340091	Val Loss: 1.275306	Val Acc: 58
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.407955	Val Loss: 1.346977	Val Acc: 51
Train Epoch: 2 [31360/49000 (64%)]	Train Loss: 1.359345	Val Loss: 1.305256	Val Acc: 55
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.450660	Val Loss: 1.286196	Val Acc: 56
Train Epoch: 2 [32640/49000 (67%)]	Train Loss: 1.314799	Val Loss: 1.316480	Val Acc: 58
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 1.400361	Val Loss: 1.256832	Val Acc: 57
Train Epoch: 2 [33920/49000 (69%)]	Train Loss: 1.352778	Val Loss: 1.233989	Val Acc: 58
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.225923	Val Loss: 1.318227	Val Acc: 56
Train Epoch: 2 [35200/49000 (72%)]	Train Loss: 1.149692	Val Loss: 1.261318	Val Acc: 58
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.219936	Val Loss: 1.274612	Val Acc: 60
Train Epoch: 2 [36480/49000 (74%)]	Train Loss: 1.319469	Val Loss: 1.392588	Val Acc: 51
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.228833	Val Loss: 1.309966	Val Acc: 54
Train Epoch: 2 [37760/49000 (77%)]	Train Loss: 1.281452	Val Loss: 1.266883	Val Acc: 57
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.094657	Val Loss: 1.269045	Val Acc: 56
Train Epoch: 2 [39040/49000 (80%)]	Train Loss: 1.304352	Val Loss: 1.260404	Val Acc: 58
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 1.219110	Val Loss: 1.249659	Val Acc: 57
Train Epoch: 2 [40320/49000 (82%)]	Train Loss: 1.219041	Val Loss: 1.357070	Val Acc: 54
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 1.211672	Val Loss: 1.258140	Val Acc: 60
Train Epoch: 2 [41600/49000 (85%)]	Train Loss: 1.171239	Val Loss: 1.263694	Val Acc: 56
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 1.259913	Val Loss: 1.276808	Val Acc: 59
Train Epoch: 2 [42880/49000 (87%)]	Train Loss: 1.237689	Val Loss: 1.217385	Val Acc: 60
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 1.129076	Val Loss: 1.322480	Val Acc: 56
Train Epoch: 2 [44160/49000 (90%)]	Train Loss: 1.266650	Val Loss: 1.381972	Val Acc: 52
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 1.267788	Val Loss: 1.309245	Val Acc: 55
Train Epoch: 2 [45440/49000 (93%)]	Train Loss: 1.378511	Val Loss: 1.278303	Val Acc: 56
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.171146	Val Loss: 1.265487	Val Acc: 57
Train Epoch: 2 [46720/49000 (95%)]	Train Loss: 1.274158	Val Loss: 1.318409	Val Acc: 55
Train Epoch: 2 [47360/49000 (97%)]	Train Loss: 1.470353	Val Loss: 1.345686	Val Acc: 53
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 1.140961	Val Loss: 1.256426	Val Acc: 57
Train Epoch: 2 [48640/49000 (99%)]	Train Loss: 1.291294	Val Loss: 1.317086	Val Acc: 56
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.144466	Val Loss: 1.358037	Val Acc: 54
Train Epoch: 3 [640/49000 (1%)]	Train Loss: 1.459824	Val Loss: 1.278157	Val Acc: 56
Train Epoch: 3 [1280/49000 (3%)]	Train Loss: 1.258908	Val Loss: 1.282767	Val Acc: 55
