Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 10.813283	Val Loss: 10.299057	Val Acc: 9
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 6.778971	Val Loss: 6.696677	Val Acc: 12
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 6.750119	Val Loss: 5.579584	Val Acc: 15
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 4.502599	Val Loss: 4.977809	Val Acc: 18
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 4.696237	Val Loss: 4.612734	Val Acc: 20
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 4.744183	Val Loss: 4.141072	Val Acc: 21
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 3.727752	Val Loss: 3.955763	Val Acc: 21
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 3.952483	Val Loss: 3.841784	Val Acc: 21
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 3.454712	Val Loss: 3.812371	Val Acc: 23
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 4.189288	Val Loss: 3.727780	Val Acc: 21
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 3.772044	Val Loss: 3.658907	Val Acc: 23
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 3.482888	Val Loss: 3.478251	Val Acc: 24
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 3.440747	Val Loss: 3.394366	Val Acc: 22
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 3.460656	Val Loss: 3.386218	Val Acc: 24
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 3.154023	Val Loss: 3.345165	Val Acc: 22
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 3.048280	Val Loss: 3.198287	Val Acc: 25
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 3.072174	Val Loss: 3.270735	Val Acc: 24
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 3.268740	Val Loss: 3.151685	Val Acc: 25
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 2.771951	Val Loss: 3.207747	Val Acc: 23
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 3.263456	Val Loss: 3.046603	Val Acc: 24
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.789683	Val Loss: 3.084459	Val Acc: 26
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 2.941190	Val Loss: 3.034057	Val Acc: 25
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 3.302189	Val Loss: 3.102059	Val Acc: 24
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 3.231264	Val Loss: 2.933280	Val Acc: 24
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 3.342831	Val Loss: 2.938730	Val Acc: 25
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 3.120304	Val Loss: 3.027632	Val Acc: 25
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 2.720726	Val Loss: 2.956892	Val Acc: 24
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 2.847537	Val Loss: 2.970730	Val Acc: 23
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.888176	Val Loss: 2.923746	Val Acc: 23
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 2.716781	Val Loss: 2.851660	Val Acc: 24
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 3.076742	Val Loss: 2.792283	Val Acc: 24
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 2.722502	Val Loss: 2.791539	Val Acc: 25
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 3.018929	Val Loss: 2.758937	Val Acc: 27
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 2.515624	Val Loss: 2.803631	Val Acc: 25
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 2.763046	Val Loss: 2.751542	Val Acc: 25
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 2.479135	Val Loss: 2.698594	Val Acc: 25
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.897981	Val Loss: 2.814926	Val Acc: 23
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 2.549485	Val Loss: 2.634159	Val Acc: 26
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 2.150478	Val Loss: 2.740733	Val Acc: 25
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.507686	Val Loss: 2.642284	Val Acc: 27
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 2.450660	Val Loss: 2.711893	Val Acc: 26
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 2.656967	Val Loss: 2.675541	Val Acc: 26
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 2.594329	Val Loss: 2.683212	Val Acc: 25
