Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 3.753842	Val Loss: 4.138235	Val Acc: 10
Train Epoch: 1 [640/49000 (1%)]	Train Loss: 2.914672	Val Loss: 2.908535	Val Acc: 13
Train Epoch: 1 [1280/49000 (3%)]	Train Loss: 2.474620	Val Loss: 2.429476	Val Acc: 25
Train Epoch: 1 [1920/49000 (4%)]	Train Loss: 2.171707	Val Loss: 2.460542	Val Acc: 20
Train Epoch: 1 [2560/49000 (5%)]	Train Loss: 2.126601	Val Loss: 2.325100	Val Acc: 27
Train Epoch: 1 [3200/49000 (7%)]	Train Loss: 2.317100	Val Loss: 2.282227	Val Acc: 29
Train Epoch: 1 [3840/49000 (8%)]	Train Loss: 2.215573	Val Loss: 2.182355	Val Acc: 30
Train Epoch: 1 [4480/49000 (9%)]	Train Loss: 2.507547	Val Loss: 2.182370	Val Acc: 28
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 1.809962	Val Loss: 2.080986	Val Acc: 31
Train Epoch: 1 [5760/49000 (12%)]	Train Loss: 2.034592	Val Loss: 2.010522	Val Acc: 27
Train Epoch: 1 [6400/49000 (13%)]	Train Loss: 2.144357	Val Loss: 2.018364	Val Acc: 33
Train Epoch: 1 [7040/49000 (14%)]	Train Loss: 2.108640	Val Loss: 2.009314	Val Acc: 33
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.772599	Val Loss: 1.936950	Val Acc: 35
Train Epoch: 1 [8320/49000 (17%)]	Train Loss: 1.936597	Val Loss: 1.933219	Val Acc: 32
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 1.994718	Val Loss: 1.878388	Val Acc: 37
Train Epoch: 1 [9600/49000 (20%)]	Train Loss: 1.999033	Val Loss: 1.978410	Val Acc: 34
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.749965	Val Loss: 1.927205	Val Acc: 35
Train Epoch: 1 [10880/49000 (22%)]	Train Loss: 1.997842	Val Loss: 1.821726	Val Acc: 37
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 2.098950	Val Loss: 1.861733	Val Acc: 35
Train Epoch: 1 [12160/49000 (25%)]	Train Loss: 1.697290	Val Loss: 1.870630	Val Acc: 35
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.882193	Val Loss: 1.778876	Val Acc: 39
Train Epoch: 1 [13440/49000 (27%)]	Train Loss: 1.914834	Val Loss: 1.882680	Val Acc: 33
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.738456	Val Loss: 1.830587	Val Acc: 36
Train Epoch: 1 [14720/49000 (30%)]	Train Loss: 1.904650	Val Loss: 1.797071	Val Acc: 40
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 2.068271	Val Loss: 1.735286	Val Acc: 41
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.779202	Val Loss: 1.826236	Val Acc: 33
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.755919	Val Loss: 1.701918	Val Acc: 42
Train Epoch: 1 [17280/49000 (35%)]	Train Loss: 1.660079	Val Loss: 1.796516	Val Acc: 35
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.795588	Val Loss: 1.780928	Val Acc: 34
Train Epoch: 1 [18560/49000 (38%)]	Train Loss: 1.686166	Val Loss: 1.758057	Val Acc: 37
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.778732	Val Loss: 1.791391	Val Acc: 32
Train Epoch: 1 [19840/49000 (40%)]	Train Loss: 1.679631	Val Loss: 1.734055	Val Acc: 38
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.801440	Val Loss: 1.798807	Val Acc: 40
Train Epoch: 1 [21120/49000 (43%)]	Train Loss: 1.647921	Val Loss: 1.776071	Val Acc: 39
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 1.765244	Val Loss: 1.813991	Val Acc: 37
Train Epoch: 1 [22400/49000 (46%)]	Train Loss: 1.661293	Val Loss: 1.713762	Val Acc: 41
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 1.812868	Val Loss: 1.682156	Val Acc: 40
Train Epoch: 1 [23680/49000 (48%)]	Train Loss: 1.441249	Val Loss: 1.696580	Val Acc: 43
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 1.457851	Val Loss: 1.635428	Val Acc: 43
Train Epoch: 1 [24960/49000 (51%)]	Train Loss: 1.778947	Val Loss: 1.662705	Val Acc: 44
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.709934	Val Loss: 1.609499	Val Acc: 44
Train Epoch: 1 [26240/49000 (54%)]	Train Loss: 1.555001	Val Loss: 1.700899	Val Acc: 40
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 1.514820	Val Loss: 1.704622	Val Acc: 41
Train Epoch: 1 [27520/49000 (56%)]	Train Loss: 1.561022	Val Loss: 1.734653	Val Acc: 44
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.614753	Val Loss: 1.656201	Val Acc: 43
Train Epoch: 1 [28800/49000 (59%)]	Train Loss: 1.854780	Val Loss: 1.713932	Val Acc: 40
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 1.748687	Val Loss: 1.679856	Val Acc: 40
Train Epoch: 1 [30080/49000 (61%)]	Train Loss: 1.720564	Val Loss: 1.691374	Val Acc: 48
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 1.906714	Val Loss: 1.737009	Val Acc: 43
Train Epoch: 1 [31360/49000 (64%)]	Train Loss: 1.687490	Val Loss: 1.657171	Val Acc: 40
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.619778	Val Loss: 1.641105	Val Acc: 44
Train Epoch: 1 [32640/49000 (67%)]	Train Loss: 1.492958	Val Loss: 1.622229	Val Acc: 42
